item_id,capitulo,titulo,dado_original,ano_dado,trecho_contexto,tipo_indicador,pode_atualizar,prioridade,motivo_atualizacao,fonte_original,url_original
hsia-bd6325688e01,3,Mercado refaz contas com novo sobressalto da China,50%,nao_identificado_no_conteudo_disponivel,"A moeda chinesa pode perder até 50% do seu valor, arrastando junto a maioria das moedas emergentes.",rmb_cambio_reservas,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Folha de S.Paulo,http://www1.folha.uol.com.br/mercado/2016/01/1727162-mercado-refaz-contas-com-novo-sobressalto-da-china.shtml
hsia-dca185baeabb,4,China troca motores de crescimento e indicadores tradicionais perdem força,"6,7%",nao_identificado_no_conteudo_disponivel,"Em entrevista nesta terça-feira (18) ao Times Brasil – Licenciado Exclusivo CNBC , Sheng afirmou que números como a queda de 6,7% dos investimentos em ativos fixos nos primeiros sete meses do ano seriam muito mais preocupantes uma década atrás. “ A economia chinesa saiu daquele modelo de crescimento que é intensivo em ativo fixo, investimento imobiliário e infraestrutura e está indo para desenvolvimento sustentável, de alta tecnologia, de qualidade e com muita inova",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",CNBC Brasil,https://timesbrasil.com.br/mundo/china-troca-motores-do-crescimento-e-indicadores-perdem-forca/
hsia-4ce1eb628895,4,"O mito da desaceleração da China: Por que a “fragilidade” econômica é, na verdade, um salto para a autonomia tecnológica","4,5%",nao_identificado_no_conteudo_disponivel,"Entenda as metas de crescimento da China entre 4,5% e 5% e o que isso significa para a economia global e suas análises.",atividade_precos,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/o-mito-da-desaceleracao-da-china-por-que-a-fragilidade-economica-e-na-verdade-um-salto-para-a-autonomia-tecnologica-ceci/
hsia-4ce1eb628895,4,"O mito da desaceleração da China: Por que a “fragilidade” econômica é, na verdade, um salto para a autonomia tecnológica",5%,nao_identificado_no_conteudo_disponivel,"Entenda as metas de crescimento da China entre 4,5% e 5% e o que isso significa para a economia global e suas análises.",atividade_precos,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/o-mito-da-desaceleracao-da-china-por-que-a-fragilidade-economica-e-na-verdade-um-salto-para-a-autonomia-tecnologica-ceci/
hsia-312e973b7c88,5,Como estará o apetite da China no mercado em 2024 e quais serão os impactos para empresas?,"4,5%",2024,"Sendo assim, o Produto Interno Bruto (PIB) do país deve crescer 4,5% em 2024 e 4,3% em 2025, contra o avanço estimado de 5,2% em 2023.",atividade_precos,sim,alta,"O indicador varia ao longo do tempo e o ano 2024, registrado no próprio trecho, já pode estar defasado para uma edição atual do livro.",YouTube / Money Times,https://www.moneytimes.com.br/como-estara-o-apetite-da-china-no-mercado-em-2024-e-quais-serao-os-impactos-para-empresas/
hsia-312e973b7c88,5,Como estará o apetite da China no mercado em 2024 e quais serão os impactos para empresas?,"5,2%",2023,"Sendo assim, o Produto Interno Bruto (PIB) do país deve crescer 4,5% em 2024 e 4,3% em 2025, contra o avanço estimado de 5,2% em 2023.",atividade_precos,sim,alta,"O indicador varia ao longo do tempo e o ano 2023, registrado no próprio trecho, já pode estar defasado para uma edição atual do livro.",YouTube / Money Times,https://www.moneytimes.com.br/como-estara-o-apetite-da-china-no-mercado-em-2024-e-quais-serao-os-impactos-para-empresas/
hsia-312e973b7c88,5,Como estará o apetite da China no mercado em 2024 e quais serão os impactos para empresas?,"4,3%",2025,"Sendo assim, o Produto Interno Bruto (PIB) do país deve crescer 4,5% em 2024 e 4,3% em 2025, contra o avanço estimado de 5,2% em 2023.",atividade_precos,sim,media,"O indicador é temporalmente variável e está associado ao ano 2025; convém confirmá-lo na revisão da nova edição, sem substituir o valor original.",YouTube / Money Times,https://www.moneytimes.com.br/como-estara-o-apetite-da-china-no-mercado-em-2024-e-quais-serao-os-impactos-para-empresas/
hsia-87d3e5f64666,5,Por que a Bolsa da China subiu? Veja o que diz o vice-presidente do Bank of China,100 bilhões de yuan,2025,"O governo chinês anunciou que adiantará 100 bilhões de yuan (cerca de US$ 14,1 bilhões) do orçamento de investimento de 2025 […]",investimentos_financiamento,sim,media,"O indicador é temporalmente variável e está associado ao ano 2025; convém confirmá-lo na revisão da nova edição, sem substituir o valor original.",Money Times - busca interna,https://www.moneytimes.com.br/por-que-a-bolsa-da-china-continua-subindo-veja-o-que-diz-o-vice-presidente-do-bank-of-china-mtm/
hsia-87d3e5f64666,5,Por que a Bolsa da China subiu? Veja o que diz o vice-presidente do Bank of China,"US$ 14,1 bilhões",2025,"O governo chinês anunciou que adiantará 100 bilhões de yuan (cerca de US$ 14,1 bilhões) do orçamento de investimento de 2025 […]",investimentos_financiamento,sim,media,"O indicador é temporalmente variável e está associado ao ano 2025; convém confirmá-lo na revisão da nova edição, sem substituir o valor original.",Money Times - busca interna,https://www.moneytimes.com.br/por-que-a-bolsa-da-china-continua-subindo-veja-o-que-diz-o-vice-presidente-do-bank-of-china-mtm/
hsia-96490b2559d8,5,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,30x,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-96490b2559d8,5,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,US$ 4 bi,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-f719d6f9027a,5,China surpreende mercado com corte na taxa de juros,10 pontos-base,nao_identificado_no_conteudo_disponivel,O Banco Central da China surpreendeu o mercado nesta segunda-feira (22) ao decidir cortar a taxa de juros em 10 pontos-base.,juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-surpreende-mercado-com-corte-na-taxa-de-juros-jals/
hsia-bd6325688e01,5,Mercado refaz contas com novo sobressalto da China,50%,nao_identificado_no_conteudo_disponivel,"A moeda chinesa pode perder até 50% do seu valor, arrastando junto a maioria das moedas emergentes.",rmb_cambio_reservas,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Folha de S.Paulo,http://www1.folha.uol.com.br/mercado/2016/01/1727162-mercado-refaz-contas-com-novo-sobressalto-da-china.shtml
hsia-96490b2559d8,6,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,30x,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-96490b2559d8,6,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,US$ 4 bi,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-4ce1eb628895,7,"O mito da desaceleração da China: Por que a “fragilidade” econômica é, na verdade, um salto para a autonomia tecnológica","4,5%",nao_identificado_no_conteudo_disponivel,"Entenda as metas de crescimento da China entre 4,5% e 5% e o que isso significa para a economia global e suas análises.",atividade_precos,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/o-mito-da-desaceleracao-da-china-por-que-a-fragilidade-economica-e-na-verdade-um-salto-para-a-autonomia-tecnologica-ceci/
hsia-4ce1eb628895,7,"O mito da desaceleração da China: Por que a “fragilidade” econômica é, na verdade, um salto para a autonomia tecnológica",5%,nao_identificado_no_conteudo_disponivel,"Entenda as metas de crescimento da China entre 4,5% e 5% e o que isso significa para a economia global e suas análises.",atividade_precos,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/o-mito-da-desaceleracao-da-china-por-que-a-fragilidade-economica-e-na-verdade-um-salto-para-a-autonomia-tecnologica-ceci/
hsia-559b96715b41,8,Brasil aposta no yuan para emitir títulos: medida pode gerar atritos com os EUA?,6%,nao_identificado_no_conteudo_disponivel,"comércio mundial, atingindo 6% das transações.",comercio_brasil_china,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Sputnik,https://noticiabrasil.net.br/20260622/brasil-aposta-no-yuan-para-emitir-titulos-medida-pode-gerar-atritos-com-os-eua-51549498.html
hsia-559b96715b41,8,Brasil aposta no yuan para emitir títulos: medida pode gerar atritos com os EUA?,82%,nao_identificado_no_conteudo_disponivel,"Ainda assim, a moeda chinesa está bem distante do dólar norte-americano, que possui uma fatia de 82%.",participacao_mercado,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Sputnik,https://noticiabrasil.net.br/20260622/brasil-aposta-no-yuan-para-emitir-titulos-medida-pode-gerar-atritos-com-os-eua-51549498.html
hsia-559b96715b41,8,Brasil aposta no yuan para emitir títulos: medida pode gerar atritos com os EUA?,"R$ 56,7 trilhões",nao_identificado_no_conteudo_disponivel,"Aliado a isso, o especialista lembra que a China tem o segundo maior mercado de capitais do mundo, com capitalização superior a US$ 11 trilhões (R$ 56,7 trilhões), ficando atrás apenas dos Estados Unidos.",indices_mercados,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Sputnik,https://noticiabrasil.net.br/20260622/brasil-aposta-no-yuan-para-emitir-titulos-medida-pode-gerar-atritos-com-os-eua-51549498.html
hsia-559b96715b41,8,Brasil aposta no yuan para emitir títulos: medida pode gerar atritos com os EUA?,US$ 11 trilhões,nao_identificado_no_conteudo_disponivel,"Aliado a isso, o especialista lembra que a China tem o segundo maior mercado de capitais do mundo, com capitalização superior a US$ 11 trilhões (R$ 56,7 trilhões), ficando atrás apenas dos Estados Unidos.",indices_mercados,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Sputnik,https://noticiabrasil.net.br/20260622/brasil-aposta-no-yuan-para-emitir-titulos-medida-pode-gerar-atritos-com-os-eua-51549498.html
hsia-6cdab507abb8,8,Estabilidade financeira global: A nova vítima do tarifaço do Trump?,15%,nao_identificado_no_conteudo_disponivel,"O resultado foi uma queda de 15% nos preços e uma disparada na taxa de rendimento de 3,9% para 4,5%.",juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/estabilidade-financeira-global-a-nova-vitima-do-tarifaco-do-trump-jals/
hsia-6cdab507abb8,8,Estabilidade financeira global: A nova vítima do tarifaço do Trump?,"3,9%",nao_identificado_no_conteudo_disponivel,"O resultado foi uma queda de 15% nos preços e uma disparada na taxa de rendimento de 3,9% para 4,5%.",juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/estabilidade-financeira-global-a-nova-vitima-do-tarifaco-do-trump-jals/
hsia-6cdab507abb8,8,Estabilidade financeira global: A nova vítima do tarifaço do Trump?,"4,5%",nao_identificado_no_conteudo_disponivel,"O resultado foi uma queda de 15% nos preços e uma disparada na taxa de rendimento de 3,9% para 4,5%.",juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/estabilidade-financeira-global-a-nova-vitima-do-tarifaco-do-trump-jals/
hsia-f719d6f9027a,9,China surpreende mercado com corte na taxa de juros,10 pontos-base,nao_identificado_no_conteudo_disponivel,O Banco Central da China surpreendeu o mercado nesta segunda-feira (22) ao decidir cortar a taxa de juros em 10 pontos-base.,juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-surpreende-mercado-com-corte-na-taxa-de-juros-jals/
hsia-6cdab507abb8,9,Estabilidade financeira global: A nova vítima do tarifaço do Trump?,15%,nao_identificado_no_conteudo_disponivel,"O resultado foi uma queda de 15% nos preços e uma disparada na taxa de rendimento de 3,9% para 4,5%.",juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/estabilidade-financeira-global-a-nova-vitima-do-tarifaco-do-trump-jals/
hsia-6cdab507abb8,9,Estabilidade financeira global: A nova vítima do tarifaço do Trump?,"3,9%",nao_identificado_no_conteudo_disponivel,"O resultado foi uma queda de 15% nos preços e uma disparada na taxa de rendimento de 3,9% para 4,5%.",juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/estabilidade-financeira-global-a-nova-vitima-do-tarifaco-do-trump-jals/
hsia-6cdab507abb8,9,Estabilidade financeira global: A nova vítima do tarifaço do Trump?,"4,5%",nao_identificado_no_conteudo_disponivel,"O resultado foi uma queda de 15% nos preços e uma disparada na taxa de rendimento de 3,9% para 4,5%.",juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/estabilidade-financeira-global-a-nova-vitima-do-tarifaco-do-trump-jals/
hsia-2ce022423e09,10,Economia da China: O que se espera dos números do terceiro trimestre de 2023?,"4,6 %",2023,"Em agosto, as vendas no varejo de bens de consumo, um indicador importante da força do consumo do país, aumentaram 4,6 % em relação ao ano anterior.",atividade_precos,sim,alta,"O indicador varia ao longo do tempo e o ano 2023, registrado no título da obra, já pode estar defasado para uma edição atual do livro.",Money Times - busca interna,https://www.moneytimes.com.br/economia-da-china-o-que-se-espera-dos-numeros-do-terceiro-trimestre-de-2023/
hsia-87d3e5f64666,10,Por que a Bolsa da China subiu? Veja o que diz o vice-presidente do Bank of China,100 bilhões de yuan,2025,"O governo chinês anunciou que adiantará 100 bilhões de yuan (cerca de US$ 14,1 bilhões) do orçamento de investimento de 2025 […]",investimentos_financiamento,sim,media,"O indicador é temporalmente variável e está associado ao ano 2025; convém confirmá-lo na revisão da nova edição, sem substituir o valor original.",Money Times - busca interna,https://www.moneytimes.com.br/por-que-a-bolsa-da-china-continua-subindo-veja-o-que-diz-o-vice-presidente-do-bank-of-china-mtm/
hsia-87d3e5f64666,10,Por que a Bolsa da China subiu? Veja o que diz o vice-presidente do Bank of China,"US$ 14,1 bilhões",2025,"O governo chinês anunciou que adiantará 100 bilhões de yuan (cerca de US$ 14,1 bilhões) do orçamento de investimento de 2025 […]",investimentos_financiamento,sim,media,"O indicador é temporalmente variável e está associado ao ano 2025; convém confirmá-lo na revisão da nova edição, sem substituir o valor original.",Money Times - busca interna,https://www.moneytimes.com.br/por-que-a-bolsa-da-china-continua-subindo-veja-o-que-diz-o-vice-presidente-do-bank-of-china-mtm/
hsia-96490b2559d8,10,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,30x,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-96490b2559d8,10,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,US$ 4 bi,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-f719d6f9027a,10,China surpreende mercado com corte na taxa de juros,10 pontos-base,nao_identificado_no_conteudo_disponivel,O Banco Central da China surpreendeu o mercado nesta segunda-feira (22) ao decidir cortar a taxa de juros em 10 pontos-base.,juros_credito,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-surpreende-mercado-com-corte-na-taxa-de-juros-jals/
hsia-bd6325688e01,10,Mercado refaz contas com novo sobressalto da China,50%,nao_identificado_no_conteudo_disponivel,"A moeda chinesa pode perder até 50% do seu valor, arrastando junto a maioria das moedas emergentes.",rmb_cambio_reservas,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Folha de S.Paulo,http://www1.folha.uol.com.br/mercado/2016/01/1727162-mercado-refaz-contas-com-novo-sobressalto-da-china.shtml
hsia-96490b2559d8,11,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,30x,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
hsia-96490b2559d8,11,China desafia o padrão: Dívida soberana em dólar pode ditar nova taxa livre de risco,US$ 4 bi,nao_identificado_no_conteudo_disponivel,"China emite US$ 4 bi em títulos em dólar, com demanda 30x maior que oferta, reforçando credibilidade e impacto para investimentos no Brasil.",investimentos_financiamento,revisao_manual,media,"O valor é quantitativo e potencialmente variável, mas o conteúdo local não informa com segurança seu ano-base; é preciso conferir a fonte original antes de incluí-lo na fila de atualização.",Money Times,https://www.moneytimes.com.br/china-desafia-o-padrao-divida-soberana-em-dolar-pode-ditar-nova-taxa-livre-de-risco-jals/
